ID,FishType,Name,Description,Habitat,CatchTier,Attractor,Rarity,SpecialLootID,Difficulty,Experience,Movement,CatchMissionCount1,CatchMissionCount2,CatchMissionCount3,BoonBonus
23,Small ,Zuko,"Quick moving aggressive fish that are difficult to hook. They like to hide among the rocks and other tight safe places, although the smell of meat catches their attention.",Normal,0,Carnivore,Rare,0,Medium,20,"Jetting motions, where they will move forward and stop, and then move forward again which may be a challenge to deal with among the waves.",5,10,50,5
24,Small,Zuko,"Quick moving aggressive fish that are difficult to hook. They like to hide among the rocks and other tight safe places, although the smell of meat catches their attention.",Normal,0,Carnivore,Epic,0,Medium,25,"Jetting motions, where they will move forward and stop, and then move forward again which may be a challenge to deal with among the waves.",5,10,50,5
25,Small,Zuko,"Quick moving aggressive fish that are difficult to hook. They like to hide among the rocks and other tight safe places, although the smell of meat catches their attention.",Normal,0,Carnivore,Legendary,0,Medium,30,"Jetting motions, where they will move forward and stop, and then move forward again which may be a challenge to deal with among the waves.",5,10,50,5
26,Small,Tunnbrod,"These small flappy guys stay near the surface, flowing with the waves.",Normal,0,Vegetarian,Common,0,Medium,10,Bubbla will jump out of the water and use tight turns to snap the line. They are also fast and powerful.,5,10,50,3
27,Small,Tunnbrod,"These small flappy guys stay near the surface, flowing with the waves.",Normal,0,Vegetarian,Uncommon,0,Medium,15,Bubbla will jump out of the water and use tight turns to snap the line. They are also fast and powerful.,5,10,50,3
28,Small,Tunnbrod,"These small flappy guys stay near the surface, flowing with the waves.",Normal,0,Vegetarian,Rare,0,Medium,20,Bubbla will jump out of the water and use tight turns to snap the line. They are also fast and powerful.,5,10,50,3
29,Small,Tunnbrod,"These small flappy guys stay near the surface, flowing with the waves.",Normal,0,Vegetarian,Epic,0,Medium,25,Bubbla will jump out of the water and use tight turns to snap the line. They are also fast and powerful.,5,10,50,3
30,Small,Tunnbrod,"These small flappy guys stay near the surface, flowing with the waves.",Normal,0,Vegetarian,Legendary,0,Medium,30,Bubbla will jump out of the water and use tight turns to snap the line. They are also fast and powerful.,5,10,50,3
31,Small,Wiri,Wild little wiggly fish.. They are often seen in schools and jumping the waves near the surface. They are tricky to catch as they scatter quickly and are picky when it comes to bait.,Normal,0,Vegetarian,Common,0,Medium,10,"Fast and spindly, Zuko use jumping to their advantage.",5,10,50,3
32,Small,Wiri,Wild little wiggly fish.. They are often seen in schools and jumping the waves near the surface. They are tricky to catch as they scatter quickly and are picky when it comes to bait.,Normal,0,Vegetarian,Uncommon,0,Medium,15,"Fast and spindly, Zuko use jumping to their advantage.",5,10,50,3
33,Small ,Wiri,Wild little wiggly fish.. They are often seen in schools and jumping the waves near the surface. They are tricky to catch as they scatter quickly and are picky when it comes to bait.,Normal,0,Vegetarian,Rare,0,Medium,20,"Fast and spindly, Zuko use jumping to their advantage.",5,10,50,3
34,Small,Wiri,Wild little wiggly fish.. They are often seen in schools and jumping the waves near the surface. They are tricky to catch as they scatter quickly and are picky when it comes to bait.,Normal,0,Vegetarian,Epic,0,Medium,25,"Fast and spindly, Zuko use jumping to their advantage.",5,10,50,3
35,Small,Wiri,Wild little wiggly fish.. They are often seen in schools and jumping the waves near the surface. They are tricky to catch as they scatter quickly and are picky when it comes to bait.,Normal,0,Vegetarian,Legendary,0,Medium,30,"Fast and spindly, Zuko use jumping to their advantage.",5,10,50,3
36,Small,Ataata,"Small fish from far below the surface that survive off of sediment. You will not find them swimming around as much, but sometimes they will latch onto other fish with their tiny hooked claws to get where they need to go.",Normal,0,Carnivore,Common,0,Medium,10,They are relatively easy to catch as they are not the strongest or fastest fish. They are able to jump and do a few quick movements but their defenses are not high at all.,5,10,50,3
37,Small,Ataata,"Small fish from far below the surface that survive off of sediment. You will not find them swimming around as much, but sometimes they will latch onto other fish with their tiny hooked claws to get where they need to go.",Normal,0,Carnivore,Uncommon,0,Medium,15,They are relatively easy to catch as they are not the strongest or fastest fish. They are able to jump and do a few quick movements but their defenses are not high at all.,5,10,50,3
38,Small,Ataata,"Small fish from far below the surface that survive off of sediment. You will not find them swimming around as much, but sometimes they will latch onto other fish with their tiny hooked claws to get where they need to go.",Normal,0,Carnivore,Rare,0,Medium,20,They are relatively easy to catch as they are not the strongest or fastest fish. They are able to jump and do a few quick movements but their defenses are not high at all.,5,10,50,3
39,Small,Ataata,"Small fish from far below the surface that survive off of sediment. You will not find them swimming around as much, but sometimes they will latch onto other fish with their tiny hooked claws to get where they need to go.",Normal,0,Carnivore,Epic,0,Medium,25,They are relatively easy to catch as they are not the strongest or fastest fish. They are able to jump and do a few quick movements but their defenses are not high at all.,5,10,50,3
40,Small,Ataata,"Small fish from far below the surface that survive off of sediment. You will not find them swimming around as much, but sometimes they will latch onto other fish with their tiny hooked claws to get where they need to go.",Normal,0,Carnivore,Legendary,0,Medium,30,They are relatively easy to catch as they are not the strongest or fastest fish. They are able to jump and do a few quick movements but their defenses are not high at all.,5,10,50,3
41,Small,Krabba,"They are rarely found in the water, and spend most of their time on the icebergs and rocks. Its hard to hook them, so using other means to catch them will be necessary.",Normal,0,Omnivore,Common,0,Hard,10,"Once hooked, they use quick zigzag movements and jump after jump.",5,10,50,3
42,Small,Krabba,"They are rarely found in the water, and spend most of their time on the icebergs and rocks. Its hard to hook them, so using other means to catch them will be necessary.",Normal,0,Omnivore,Uncommon,0,Hard,15,"Once hooked, they use quick zigzag movements and jump after jump.",5,10,50,3
43,Small,Krabba,"They are rarely found in the water, and spend most of their time on the icebergs and rocks. Its hard to hook them, so using other means to catch them will be necessary.",Normal,0,Omnivore,Rare,0,Hard,20,"Once hooked, they use quick zigzag movements and jump after jump.",5,10,50,3
44,Small,Krabba,"They are rarely found in the water, and spend most of their time on the icebergs and rocks. Its hard to hook them, so using other means to catch them will be necessary.",Normal,0,Omnivore,Epic,0,Hard,25,"Once hooked, they use quick zigzag movements and jump after jump.",5,10,50,3
45,Small,Krabba,"They are rarely found in the water, and spend most of their time on the icebergs and rocks. Its hard to hook them, so using other means to catch them will be necessary.",Normal,0,Omnivore,Legendary,0,Hard,30,"Once hooked, they use quick zigzag movements and jump after jump.",5,10,50,3
46,Small,Ngata,"Unlike other creatures, these guys stick to rocks above the water. If they see you coming or get too close, they suck into their shells. Ngata stick to the rocks and removing them can be very difficult.",Normal,0,Carnivore,Common,0,Medium,10,"When Ataatas are hooked they abruptly go side to side. They don't jump as often, but they are persistent in attempting to get away.",5,10,50,5
47,Small,Ngata,"Unlike other creatures, these guys stick to rocks above the water. If they see you coming or get too close, they suck into their shells. Ngata stick to the rocks and removing them can be very difficult.",Normal,0,Carnivore,Uncommon,0,Medium,15,"When Ataatas are hooked they abruptly go side to side. They don't jump as often, but they are persistent in attempting to get away.",5,10,50,5
48,Small,Ngata,"Unlike other creatures, these guys stick to rocks above the water. If they see you coming or get too close, they suck into their shells. Ngata stick to the rocks and removing them can be very difficult.",Normal,0,Carnivore,Rare,0,Medium,20,"When Ataatas are hooked they abruptly go side to side. They don't jump as often, but they are persistent in attempting to get away.",5,10,50,5
49,Small,Ngata,"Unlike other creatures, these guys stick to rocks above the water. If they see you coming or get too close, they suck into their shells. Ngata stick to the rocks and removing them can be very difficult.",Normal,0,Carnivore,Epic,0,Medium,25,"When Ataatas are hooked they abruptly go side to side. They don't jump as often, but they are persistent in attempting to get away.",5,10,50,5
50,Small,Ngata,"Unlike other creatures, these guys stick to rocks above the water. If they see you coming or get too close, they suck into their shells. Ngata stick to the rocks and removing them can be very difficult.",Normal,0,Carnivore,Legendary,0,Medium,30,"When Ataatas are hooked they abruptly go side to side. They don't jump as often, but they are persistent in attempting to get away.",5,10,50,5
51,Medium,Clampjaw,"Watch out, they bite!",Normal,0,Carnivore,Common,0,Medium,10,Stamina is on their side as they drag the boat effortlessly. They don't leave the surface of the water. They are just very hard to tire out to pull them closer to your boat without snapping the line.,5,10,50,5
52,Medium,Clampjaw,"Watch out, they bite!",Normal,0,Carnivore,Uncommon,0,Medium,15,Stamina is on their side as they drag the boat effortlessly. They don't leave the surface of the water. They are just very hard to tire out to pull them closer to your boat without snapping the line.,5,10,50,5
53,Medium,Clampjaw,"Watch out, they bite!",Normal,0,Carnivore,Rare,0,Medium,20,Stamina is on their side as they drag the boat effortlessly. They don't leave the surface of the water. They are just very hard to tire out to pull them closer to your boat without snapping the line.,5,10,50,5
54,Medium,Clampjaw,"Watch out, they bite!",Normal,0,Carnivore,Epic,0,Medium,25,Stamina is on their side as they drag the boat effortlessly. They don't leave the surface of the water. They are just very hard to tire out to pull them closer to your boat without snapping the line.,5,10,50,5
55,Medium,Clampjaw,"Watch out, they bite!",Normal,0,Carnivore,Legendary,0,Medium,30,Stamina is on their side as they drag the boat effortlessly. They don't leave the surface of the water. They are just very hard to tire out to pull them closer to your boat without snapping the line.,5,10,50,5
56,Medium,Lumaca,"A nearly brainless creature that sees all. With its many eyes, it does not miss much, making it a bit more elusive than other fish. It’s too large to be around the rocks and doesn’t hunt any fish, but prefers plant life and krill to survive.",Normal,0,Omnivore,Common,0,Medium,10,"Persistent, and energetic, they will swim away from the boat every chance they get which makes bringing them in hard. They also prefer to jump and dive.",5,10,50,3
57,Medium,Lumaca,"A nearly brainless creature that sees all. With its many eyes, it does not miss much, making it a bit more elusive than other fish. It’s too large to be around the rocks and doesn’t hunt any fish, but prefers plant life and krill to survive.",Normal,0,Omnivore,Uncommon,0,Medium,15,"Persistent, and energetic, they will swim away from the boat every chance they get which makes bringing them in hard. They also prefer to jump and dive.",5,10,50,3
58,Medium,Lumaca,"A nearly brainless creature that sees all. With its many eyes, it does not miss much, making it a bit more elusive than other fish. It’s too large to be around the rocks and doesn’t hunt any fish, but prefers plant life and krill to survive.",Normal,0,Omnivore,Rare,0,Medium,20,"Persistent, and energetic, they will swim away from the boat every chance they get which makes bringing them in hard. They also prefer to jump and dive.",5,10,50,3
59,Medium,Lumaca,"A nearly brainless creature that sees all. With its many eyes, it does not miss much, making it a bit more elusive than other fish. It’s too large to be around the rocks and doesn’t hunt any fish, but prefers plant life and krill to survive.",Normal,0,Omnivore,Epic,0,Medium,25,"Persistent, and energetic, they will swim away from the boat every chance they get which makes bringing them in hard. They also prefer to jump and dive.",5,10,50,3
60,Medium,Lumaca,"A nearly brainless creature that sees all. With its many eyes, it does not miss much, making it a bit more elusive than other fish. It’s too large to be around the rocks and doesn’t hunt any fish, but prefers plant life and krill to survive.",Normal,0,Omnivore,Legendary,0,Medium,30,"Persistent, and energetic, they will swim away from the boat every chance they get which makes bringing them in hard. They also prefer to jump and dive.",5,10,50,3
61,Medium,Martelo,"An aggressive hunter that you will most commonly see hunting smaller fish in the vents. They either hunt completely alone or in very large schools, which make other fish hide in the rocks and harder to find.",Normal,0,Omnivore,Common,0,Medium,10,This needs to be rewritten,5,10,50,3
62,Medium,Martelo,"An aggressive hunter that you will most commonly see hunting smaller fish in the vents. They either hunt completely alone or in very large schools, which make other fish hide in the rocks and harder to find.",Normal,0,Omnivore,Uncommon,0,Medium,15,This needs to be rewritten,5,10,50,3
63,Medium,Martelo,"An aggressive hunter that you will most commonly see hunting smaller fish in the vents. They either hunt completely alone or in very large schools, which make other fish hide in the rocks and harder to find.",Normal,0,Omnivore,Rare,0,Medium,20,This needs to be rewritten,5,10,50,3
64,Medium,Martelo,"An aggressive hunter that you will most commonly see hunting smaller fish in the vents. They either hunt completely alone or in very large schools, which make other fish hide in the rocks and harder to find.",Normal,0,Omnivore,Epic,0,Medium,25,This needs to be rewritten,5,10,50,3
65,Medium,Martelo,"An aggressive hunter that you will most commonly see hunting smaller fish in the vents. They either hunt completely alone or in very large schools, which make other fish hide in the rocks and harder to find.",Normal,0,Omnivore,Legendary,0,Medium,30,This needs to be rewritten,5,10,50,3
66,Medium,Purerehu,"These beautiful creatures like to swiftly move under the waves in packs of 3-5, and are always on the move. Tracking them can be difficult at times but they do like shiny things, which will stop them in their tracks to observe.",Normal,0,Carnivore,Common,0,Medium,10,"Sharp and feisty, they will jump, twirl and battle their way out of being caught. They have the most stamina for any medium fish.",5,10,50,3
67,Medium,Purerehu,"These beautiful creatures like to swiftly move under the waves in packs of 3-5, and are always on the move. Tracking them can be difficult at times but they do like shiny things, which will stop them in their tracks to observe.",Normal,0,Carnivore,Uncommon,0,Medium,15,"Sharp and feisty, they will jump, twirl and battle their way out of being caught. They have the most stamina for any medium fish.",5,10,50,3
68,Medium,Purerehu,"These beautiful creatures like to swiftly move under the waves in packs of 3-5, and are always on the move. Tracking them can be difficult at times but they do like shiny things, which will stop them in their tracks to observe.",Normal,0,Carnivore,Rare,0,Medium,20,"Sharp and feisty, they will jump, twirl and battle their way out of being caught. They have the most stamina for any medium fish.",5,10,50,3
69,Medium,Purerehu,"These beautiful creatures like to swiftly move under the waves in packs of 3-5, and are always on the move. Tracking them can be difficult at times but they do like shiny things, which will stop them in their tracks to observe.",Normal,0,Carnivore,Epic,0,Medium,25,"Sharp and feisty, they will jump, twirl and battle their way out of being caught. They have the most stamina for any medium fish.",5,10,50,3
70,Medium,Purerehu,"These beautiful creatures like to swiftly move under the waves in packs of 3-5, and are always on the move. Tracking them can be difficult at times but they do like shiny things, which will stop them in their tracks to observe.",Normal,0,Carnivore,Legendary,0,Medium,30,"Sharp and feisty, they will jump, twirl and battle their way out of being caught. They have the most stamina for any medium fish.",5,10,50,3
71,Medium,Rokuao,"While they may look cute, these guys like to bite.",Normal,0,Vegetarian,Common,0,Medium,10,"They move slowly and with grace, catching them is like a slow waltz, where missing steps can lead to a failure to catch them.",5,10,50,3
72,Medium,Rokuao,"While they may look cute, these guys like to bite.",Normal,0,Vegetarian,Uncommon,0,Medium,15,"They move slowly and with grace, catching them is like a slow waltz, where missing steps can lead to a failure to catch them.",5,10,50,3
73,Medium,Rokuao,"While they may look cute, these guys like to bite.",Normal,0,Vegetarian,Rare,0,Medium,20,"They move slowly and with grace, catching them is like a slow waltz, where missing steps can lead to a failure to catch them.",5,10,50,3
74,Medium,Rokuao,"While they may look cute, these guys like to bite.",Normal,0,Vegetarian,Epic,0,Medium,25,"They move slowly and with grace, catching them is like a slow waltz, where missing steps can lead to a failure to catch them.",5,10,50,3
75,Medium,Rokuao,"While they may look cute, these guys like to bite.",Normal,0,Vegetarian,Legendary,0,Medium,30,"They move slowly and with grace, catching them is like a slow waltz, where missing steps can lead to a failure to catch them.",5,10,50,3
76,Medium,Skoldpada,"These guys cruise along the surface, sometimes alone and sometimes in small groups. They seem very casual until they are hooked, where their muscular fins have a lot of power behind them.",Normal,0,Carnivore,Common,0,Medium,10,"They can pull the boat faster than any other large fish. They stay low in the water, and will try to dive and zig-zag to escape.",5,10,50,5
77,Medium,Skoldpada,"These guys cruise along the surface, sometimes alone and sometimes in small groups. They seem very casual until they are hooked, where their muscular fins have a lot of power behind them.",Normal,0,Carnivore,Uncommon,0,Medium,15,"They can pull the boat faster than any other large fish. They stay low in the water, and will try to dive and zig-zag to escape.",5,10,50,5
78,Medium,Skoldpada,"These guys cruise along the surface, sometimes alone and sometimes in small groups. They seem very casual until they are hooked, where their muscular fins have a lot of power behind them.",Normal,0,Carnivore,Rare,0,Medium,20,"They can pull the boat faster than any other large fish. They stay low in the water, and will try to dive and zig-zag to escape.",5,10,50,5
79,Medium,Skoldpada,"These guys cruise along the surface, sometimes alone and sometimes in small groups. They seem very casual until they are hooked, where their muscular fins have a lot of power behind them.",Normal,0,Carnivore,Epic,0,Medium,25,"They can pull the boat faster than any other large fish. They stay low in the water, and will try to dive and zig-zag to escape.",5,10,50,5
80,Medium,Skoldpada,"These guys cruise along the surface, sometimes alone and sometimes in small groups. They seem very casual until they are hooked, where their muscular fins have a lot of power behind them.",Normal,0,Carnivore,Legendary,0,Medium,30,"They can pull the boat faster than any other large fish. They stay low in the water, and will try to dive and zig-zag to escape.",5,10,50,5
81,Medium,Whai,"While they may look like their cousins, the Nuiwahi, these ray like creatures are some of the fastest in these waters.",Normal,0,Carnivore,Common,0,Medium,10,"Powerful stamina based , with large tail swings and jaw power to devour just about everything. They will avoid being caught by lashing out at the boat, or diving.",5,10,50,5
82,Medium,Whai,"While they may look like their cousins, the Nuiwahi, these ray like creatures are some of the fastest in these waters.",Normal,0,Carnivore,Uncommon,0,Medium,15,"Powerful stamina based , with large tail swings and jaw power to devour just about everything. They will avoid being caught by lashing out at the boat, or diving.",5,10,50,5
83,Medium,Whai,"While they may look like their cousins, the Nuiwahi, these ray like creatures are some of the fastest in these waters.",Normal,0,Carnivore,Rare,0,Medium,20,"Powerful stamina based , with large tail swings and jaw power to devour just about everything. They will avoid being caught by lashing out at the boat, or diving.",5,10,50,5
84,Medium,Whai,"While they may look like their cousins, the Nuiwahi, these ray like creatures are some of the fastest in these waters.",Normal,0,Carnivore,Epic,0,Medium,25,"Powerful stamina based , with large tail swings and jaw power to devour just about everything. They will avoid being caught by lashing out at the boat, or diving.",5,10,50,5
85,Medium,Whai,"While they may look like their cousins, the Nuiwahi, these ray like creatures are some of the fastest in these waters.",Normal,0,Carnivore,Legendary,0,Medium,30,"Powerful stamina based , with large tail swings and jaw power to devour just about everything. They will avoid being caught by lashing out at the boat, or diving.",5,10,50,5
86,Medium,Wheke,"The Wheke is slow and observant, but also curious. They will observe lures but will jet off in a cloud of ink if they detect fishy behavior and will not take the bait.",Normal,0,Omnivore,Common,0,Medium,10,"Slow, long term battle… avoiding the objects it pulls you past and keeping the line in one piece the entire time will be the struggle here",5,10,50,3
87,Medium,Wheke,"The Wheke is slow and observant, but also curious. They will observe lures but will jet off in a cloud of ink if they detect fishy behavior and will not take the bait.",Normal,0,Omnivore,Uncommon,0,Medium,15,"Slow, long term battle… avoiding the objects it pulls you past and keeping the line in one piece the entire time will be the struggle here",5,10,50,3
88,Medium,Wheke,"The Wheke is slow and observant, but also curious. They will observe lures but will jet off in a cloud of ink if they detect fishy behavior and will not take the bait.",Normal,0,Omnivore,Rare,0,Medium,20,"Slow, long term battle… avoiding the objects it pulls you past and keeping the line in one piece the entire time will be the struggle here",5,10,50,3
89,Medium,Wheke,"The Wheke is slow and observant, but also curious. They will observe lures but will jet off in a cloud of ink if they detect fishy behavior and will not take the bait.",Normal,0,Omnivore,Epic,0,Medium,25,"Slow, long term battle… avoiding the objects it pulls you past and keeping the line in one piece the entire time will be the struggle here",5,10,50,3
90,Medium,Wheke,"The Wheke is slow and observant, but also curious. They will observe lures but will jet off in a cloud of ink if they detect fishy behavior and will not take the bait.",Normal,0,Omnivore,Legendary,0,Medium,30,"Slow, long term battle… avoiding the objects it pulls you past and keeping the line in one piece the entire time will be the struggle here",5,10,50,3
91,Large,Delasvans,"Delasvans are most often spotted basking near the surface, gliding below the waves. They are a sight to behold if you are lucky enough to see one.",Normal,0,Carnivore,Common,0,Medium,10,Quick and whip like. They make sharp turns in attempts to snap the line. They tend to want to dive rather than jump above the waves.,5,10,50,3
92,Large,Delasvans,"Delasvans are most often spotted basking near the surface, gliding below the waves. They are a sight to behold if you are lucky enough to see one.",Normal,0,Carnivore,Uncommon,0,Medium,15,Quick and whip like. They make sharp turns in attempts to snap the line. They tend to want to dive rather than jump above the waves.,5,10,50,3
93,Large,Delasvans,"Delasvans are most often spotted basking near the surface, gliding below the waves. They are a sight to behold if you are lucky enough to see one.",Normal,0,Carnivore,Rare,0,Medium,20,Quick and whip like. They make sharp turns in attempts to snap the line. They tend to want to dive rather than jump above the waves.,5,10,50,3
94,Large,Delasvans,"Delasvans are most often spotted basking near the surface, gliding below the waves. They are a sight to behold if you are lucky enough to see one.",Normal,0,Carnivore,Epic,0,Medium,25,Quick and whip like. They make sharp turns in attempts to snap the line. They tend to want to dive rather than jump above the waves.,5,10,50,3
95,Large,Delasvans,"Delasvans are most often spotted basking near the surface, gliding below the waves. They are a sight to behold if you are lucky enough to see one.",Normal,0,Carnivore,Legendary,0,Medium,30,Quick and whip like. They make sharp turns in attempts to snap the line. They tend to want to dive rather than jump above the waves.,5,10,50,3
96,Large,Nuiwhai,"Nuiwhai are most often spotted basking near the surface, gliding below the waves. They are a sight to behold if you are lucky enough to see one.",Normal,0,Vegetarian,Common,0,Medium,10,"Large sweeping motions, they are powerful and have a lot of stamina, bursts of speed and turns that have potential to break the lines.",5,10,50,5
97,Large,Nuiwhai,"Nuiwhai are most often spotted basking near the surface, gliding below the waves. They are a sight to behold if you are lucky enough to see one.",Normal,0,Vegetarian,Uncommon,0,Medium,15,"Large sweeping motions, they are powerful and have a lot of stamina, bursts of speed and turns that have potential to break the lines.",5,10,50,5
98,Large,Nuiwhai,"Nuiwhai are most often spotted basking near the surface, gliding below the waves. They are a sight to behold if you are lucky enough to see one.",Normal,0,Vegetarian,Rare,0,Medium,20,"Large sweeping motions, they are powerful and have a lot of stamina, bursts of speed and turns that have potential to break the lines.",5,10,50,5
99,Large,Nuiwhai,"Nuiwhai are most often spotted basking near the surface, gliding below the waves. They are a sight to behold if you are lucky enough to see one.",Normal,0,Vegetarian,Epic,0,Medium,25,"Large sweeping motions, they are powerful and have a lot of stamina, bursts of speed and turns that have potential to break the lines.",5,10,50,5
100,Large,Nuiwhai,"Nuiwhai are most often spotted basking near the surface, gliding below the waves. They are a sight to behold if you are lucky enough to see one.",Normal,0,Vegetarian,Legendary,0,Medium,30,"Large sweeping motions, they are powerful and have a lot of stamina, bursts of speed and turns that have potential to break the lines.",5,10,50,5
101,Large,Roamano,Roamano keep to deep water in order to stay out of the light. They tend to stalk their prey before making an appearance. They see you long before you seen them.,Normal,0,Omnivore,Common,0,Medium,10,"FAST, these guys move at top speed, using jumps and zig zags to attempt to throw you off course, and will do everything in their power to stay away from the boat. Their stamina is also among the highest of any of the small fish.",5,10,50,5
